strategy,family,score,dev_sharpe,holdout_sharpe,dev_cagr,holdout_cagr,max_drawdown,calmar,psr,annual_turnover,top_name_share,stability,degradation,fails_pre_ai_rally,stressed_sharpe,cost_fragile,verdict
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.0,min_exposure=0.2,rebalance=W-FRI,target_vol=0.15,trend_window=200,vol_window=63)",riskmanaged,6.739,0.97,2.63,0.1731,0.586,-0.195,0.89,1.0,4.97,0.26,0.62,0.0,False,0.9292789320814475,False,robust_candidate
"DrawdownDeRisk(basket=megacap_ai,dd_full=-0.4,dd_start=-0.15,fallback=IEF,rebalance=W-FRI)",riskmanaged,6.724,0.87,2.53,0.2122,1.1506,-0.345,0.61,1.0,3.4,0.27,0.75,0.0,False,0.85048380212691,False,robust_candidate
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.02,min_exposure=0.2,rebalance=W-FRI,target_vol=0.15,trend_window=200,vol_window=63)",riskmanaged,6.685,0.96,2.63,0.1724,0.586,-0.222,0.78,1.0,4.48,0.27,0.62,0.0,False,0.9281843214110225,False,robust_candidate
"DrawdownDeRisk(basket=megacap_ai,dd_full=-0.3,dd_start=-0.15,fallback=IEF,rebalance=W-FRI)",riskmanaged,6.676,0.84,2.53,0.1996,1.1507,-0.329,0.61,1.0,3.78,0.27,0.75,0.0,False,0.8185566458968363,False,robust_candidate
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.02,min_exposure=0.2,rebalance=W-FRI,target_vol=0.15,trend_window=150,vol_window=63)",riskmanaged,6.653,0.97,2.63,0.1724,0.586,-0.229,0.75,1.0,4.58,0.26,0.62,0.0,False,0.9311886782329365,False,robust_candidate
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.0,min_exposure=0.2,rebalance=W-FRI,target_vol=0.15,trend_window=150,vol_window=63)",riskmanaged,6.614,0.96,2.63,0.1699,0.586,-0.228,0.75,1.0,5.14,0.27,0.62,0.0,False,0.9203577811005322,False,robust_candidate
"DrawdownDeRisk(basket=megacap_ai,dd_full=-0.4,dd_start=-0.1,fallback=IEF,rebalance=W-FRI)",riskmanaged,6.611,0.87,2.53,0.2063,1.1506,-0.325,0.64,1.0,3.61,0.27,0.62,0.0,False,0.8543173909936669,False,robust_candidate
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.15,vol_window=63)",riskmanaged,6.589,0.9,2.63,0.1784,0.586,-0.642,0.28,1.0,3.92,0.26,0.75,0.0,False,0.8722529550771546,False,robust_candidate
"DrawdownDeRisk(basket=megacap_ai,dd_full=-0.3,dd_start=-0.1,fallback=IEF,rebalance=W-FRI)",riskmanaged,6.563,0.85,2.53,0.1933,1.1505,-0.308,0.63,1.0,4.0,0.27,0.62,0.0,False,0.8240055162048324,False,robust_candidate
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.0,min_exposure=0.2,rebalance=W-FRI,target_vol=0.2,trend_window=200,vol_window=63)",riskmanaged,6.495,0.95,2.62,0.2128,0.7997,-0.278,0.77,1.0,6.35,0.27,0.62,0.0,False,0.9081727766296936,False,robust_candidate
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.02,min_exposure=0.2,rebalance=W-FRI,target_vol=0.2,trend_window=200,vol_window=63)",riskmanaged,6.492,0.94,2.62,0.2117,0.7997,-0.292,0.72,1.0,5.69,0.28,0.62,0.0,False,0.907144872401715,False,robust_candidate
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.15,vol_window=63)",riskmanaged,6.464,0.91,2.61,0.1824,0.582,-0.625,0.29,1.0,3.56,0.26,0.62,0.0,False,0.884722636170143,False,robust_candidate
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.02,min_exposure=0.2,rebalance=W-FRI,target_vol=0.2,trend_window=150,vol_window=63)",riskmanaged,6.412,0.94,2.62,0.2117,0.7997,-0.33,0.64,1.0,5.82,0.27,0.62,0.0,False,0.9099668129552893,False,robust_candidate
BuyAndHold(ticker=ANET),benchmark,6.384,0.13,3.17,0.0261,2.9109,-0.927,0.03,0.915,0.03,1.0,0.75,0.0,False,0.1294283722375636,False,benchmark
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.0,min_exposure=0.2,rebalance=W-FRI,target_vol=0.2,trend_window=150,vol_window=63)",riskmanaged,6.364,0.94,2.62,0.2086,0.7998,-0.326,0.64,1.0,6.58,0.28,0.62,0.0,False,0.8986621044252384,False,robust_candidate
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.15,vol_window=21)",riskmanaged,6.329,0.9,2.54,0.1883,0.5974,-0.638,0.3,1.0,5.3,0.24,0.75,0.0,False,0.8691026324286818,False,robust_candidate
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.2,vol_window=63)",riskmanaged,6.318,0.89,2.6,0.2235,0.8004,-0.746,0.3,1.0,4.39,0.26,0.62,0.0,False,0.8648335724704633,False,inconclusive
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.2,vol_window=63)",riskmanaged,6.296,0.88,2.62,0.2184,0.7997,-0.761,0.29,1.0,4.87,0.26,0.62,0.0,False,0.8521567168424188,False,inconclusive
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.2,vol_window=21)",riskmanaged,6.279,0.9,2.57,0.2302,0.801,-0.758,0.3,1.0,6.1,0.25,0.75,0.0,False,0.8653793102715892,False,inconclusive
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.25,vol_window=63)",riskmanaged,6.253,0.87,2.6,0.2524,1.0112,-0.83,0.3,1.0,4.53,0.27,0.62,0.0,False,0.853650510319246,False,inconclusive
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.15,vol_window=21)",riskmanaged,6.236,0.89,2.57,0.1824,0.5931,-0.669,0.27,1.0,7.35,0.25,0.75,0.0,False,0.8413524537203483,False,inconclusive
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.25,vol_window=63)",riskmanaged,6.209,0.85,2.6,0.2429,0.9977,-0.842,0.29,1.0,4.82,0.27,0.62,0.0,False,0.8289375289397314,False,inconclusive
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.25,vol_window=21)",riskmanaged,6.19,0.85,2.61,0.2415,0.9994,-0.861,0.28,1.0,7.09,0.27,0.75,0.0,False,0.8187549269785673,False,inconclusive
